	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	
1	-1	-1	17	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	
2	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	0	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	11	-1	-1	-1	8	-1	-1	
4	-1	-1	-1	-1	15	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	4	4	-1	-1	-1	-1	-1	-1	-1	17	
5	-1	-1	-1	0	-1	-1	-1	-1	16	-1	16	18	-1	-1	10	-1	-1	10	15	17	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	
6	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	
7	-1	6	-1	11	11	-1	-1	-1	-1	16	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	
8	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	-1	
9	6	-1	-1	-1	15	-1	-1	-1	-1	7	-1	18	-1	-1	18	-1	4	-1	-1	-1	-1	-1	-1	4	-1	17	-1	-1	17	-1	
10	4	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
11	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
12	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
13	-1	-1	-1	-1	-1	17	1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	0	-1	18	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	
14	-1	15	4	-1	-1	-1	-1	17	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	
15	-1	17	-1	-1	11	-1	-1	-1	-1	1	17	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	18	-1	
16	-1	-1	-1	4	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	
17	-1	-1	-1	-1	-1	-1	11	-1	18	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	15	-1	-1	-1	-1	-1	
18	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	15	
19	-1	10	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	11	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	16	17	-1	-1	
20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	6	-1	
21	-1	6	10	-1	10	16	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
22	-1	-1	-1	15	-1	11	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	4	-1	18	-1	-1	17	-1	-1	
23	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	10	10	-1	-1	-1	-1	-1	-1	11	-1	15	-1	-1	-1	-1	-1	
24	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	
