	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	
1	5	-1	-1	-1	-1	-1	-1	-1	17	-1	-1	10	11	-1	0	-1	-1	-1	-1	-1	15	-1	15	-1	-1	-1	-1	-1	-1	-1	
2	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
3	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	16	8	-1	-1	-1	-1	18	17	-1	11	-1	4	-1	-1	-1	-1	-1	-1	
4	-1	-1	-1	4	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	18	4	17	-1	7	16	-1	
5	-1	-1	16	-1	-1	-1	-1	0	-1	-1	-1	4	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	
6	-1	-1	5	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	15	-1	-1	-1	16	
7	-1	-1	-1	15	-1	-1	-1	16	-1	-1	-1	10	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
8	10	-1	-1	-1	17	-1	4	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	
9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	11	-1	-1	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	
10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	11	0	-1	-1	
11	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
12	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
13	15	-1	17	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	
14	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	18	-1	
15	-1	-1	-1	0	-1	-1	-1	-1	-1	16	-1	-1	4	18	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	-1	
16	-1	-1	-1	-1	-1	15	-1	-1	-1	15	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	
17	-1	-1	16	-1	4	-1	-1	-1	18	-1	-1	-1	-1	15	-1	-1	-1	16	17	-1	-1	-1	16	15	10	-1	-1	-1	-1	-1	
18	-1	-1	-1	-1	-1	-1	6	10	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	
19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	10	-1	-1	1	-1	18	18	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	
20	-1	-1	-1	-1	-1	18	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	8	-1	11	-1	-1	-1	-1	-1	-1	-1	4	-1	
22	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	17	-1	11	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
23	-1	-1	-1	8	-1	-1	1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	18	-1	4	-1	-1	-1	-1	-1	-1	4	4	-1	
24	-1	16	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	18	-1	-1	17	-1	-1	-1	-1	
